Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,1,GA,287.6,1.29E+07,1000,0.5,0.1
5,1,GA,286.6,1.08E+07,1000,0.5,0.2
5,1,GA,286.6,1.19E+07,1000,0.75,0.1
5,1,GA,288.2,1.13E+07,1000,0.75,0.2
5,1,GA,283.2,1.17E+07,1000,0.95,0.1
5,1,GA,285.8,1.19E+07,1000,0.95,0.2
5,1,GA,285.2,2.19E+07,2000,0.5,0.1
5,1,GA,288,2.14E+07,2000,0.5,0.2
5,1,GA,288.4,2.23E+07,2000,0.75,0.1
5,1,GA,288.6,2.34E+07,2000,0.75,0.2
5,1,GA,287.2,2.29E+07,2000,0.95,0.1
5,1,GA,286.4,2.31E+07,2000,0.95,0.2
5,1,GA,288.6,3.07E+07,3000,0.5,0.1
5,1,GA,288,3.19E+07,3000,0.5,0.2
5,1,GA,289.6,3.33E+07,3000,0.75,0.1
5,1,GA,288.4,3.34E+07,3000,0.75,0.2
5,1,GA,291.6,3.49E+07,3000,0.95,0.1
5,1,GA,288,3.86E+07,3000,0.95,0.2
5,2,GA,288,1.23E+07,1000,0.5,0.1
5,2,GA,285,1.28E+07,1000,0.5,0.2
5,2,GA,289.2,1.46E+07,1000,0.75,0.1
5,2,GA,288.2,1.42E+07,1000,0.75,0.2
5,2,GA,284,1.46E+07,1000,0.95,0.1
5,2,GA,287,1.47E+07,1000,0.95,0.2
5,2,GA,286.8,2.54E+07,2000,0.5,0.1
5,2,GA,289,2.69E+07,2000,0.5,0.2
5,2,GA,289.2,2.79E+07,2000,0.75,0.1
5,2,GA,286,2.79E+07,2000,0.75,0.2
5,2,GA,291.2,3.10E+07,2000,0.95,0.1
5,2,GA,287.4,3.06E+07,2000,0.95,0.2
5,2,GA,290,3.91E+07,3000,0.5,0.1
5,2,GA,286.6,3.97E+07,3000,0.5,0.2
5,2,GA,286.8,4.42E+07,3000,0.75,0.1
5,2,GA,289,4.35E+07,3000,0.75,0.2
5,2,GA,288.2,4.62E+07,3000,0.95,0.1
5,2,GA,288.8,4.71E+07,3000,0.95,0.2
5,4,GA,286.8,1.75E+07,1000,0.5,0.1
5,4,GA,289,1.76E+07,1000,0.5,0.2
5,4,GA,289.2,2.00E+07,1000,0.75,0.1
5,4,GA,288.4,2.04E+07,1000,0.75,0.2
5,4,GA,287.2,2.26E+07,1000,0.95,0.1
5,4,GA,288.6,2.37E+07,1000,0.95,0.2
5,4,GA,290.4,3.73E+07,2000,0.5,0.1
5,4,GA,286.8,3.60E+07,2000,0.5,0.2
5,4,GA,287.6,4.28E+07,2000,0.75,0.1
5,4,GA,287.4,4.40E+07,2000,0.75,0.2
5,4,GA,288.2,4.74E+07,2000,0.95,0.1
5,4,GA,288.2,4.67E+07,2000,0.95,0.2
5,4,GA,290.8,5.64E+07,3000,0.5,0.1
5,4,GA,293.6,5.87E+07,3000,0.5,0.2
5,4,GA,291.2,6.30E+07,3000,0.75,0.1
5,4,GA,289.2,6.59E+07,3000,0.75,0.2
5,4,GA,289.6,6.94E+07,3000,0.95,0.1
5,4,GA,291.2,6.85E+07,3000,0.95,0.2
5,8,GA,287.6,2.59E+07,1000,0.5,0.1
5,8,GA,288.4,2.86E+07,1000,0.5,0.2
5,8,GA,289,3.24E+07,1000,0.75,0.1
5,8,GA,290.8,3.32E+07,1000,0.75,0.2
5,8,GA,289.2,3.55E+07,1000,0.95,0.1
5,8,GA,286.6,3.65E+07,1000,0.95,0.2
5,8,GA,290.8,5.55E+07,2000,0.5,0.1
5,8,GA,290.2,5.77E+07,2000,0.5,0.2
5,8,GA,290,6.85E+07,2000,0.75,0.1
5,8,GA,290,6.65E+07,2000,0.75,0.2
5,8,GA,289.4,7.47E+07,2000,0.95,0.1
5,8,GA,289.8,7.52E+07,2000,0.95,0.2
5,8,GA,290.4,8.46E+07,3000,0.5,0.1
5,8,GA,291.2,8.73E+07,3000,0.5,0.2
5,8,GA,292.6,9.98E+07,3000,0.75,0.1
