Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Restart Threshold
1,1,RHC,235.0,1921700.0,0
1,1,RHC,238.0,140900.0,10
1,1,RHC,238.0,180000.0,50
1,1,RHC,248.0,117600.0,100
1,1,RHC,246.0,115800.0,500
1,1,RHC,258.0,123600.0,1000
1,2,RHC,245.0,206500.0,0
1,2,RHC,238.0,165300.0,10
1,2,RHC,246.0,196000.0,50
1,2,RHC,268.0,265600.0,100
1,2,RHC,235.0,170900.0,500
1,2,RHC,241.0,195700.0,1000
1,4,RHC,257.0,319600.0,0
1,4,RHC,232.0,316800.0,10
1,4,RHC,255.0,329500.0,50
1,4,RHC,257.0,289800.0,100
1,4,RHC,236.0,278800.0,500
1,4,RHC,250.0,256900.0,1000
1,8,RHC,258.0,494800.0,0
1,8,RHC,252.0,472800.0,10
1,8,RHC,252.0,444600.0,50
1,8,RHC,260.0,216400.0,100
1,8,RHC,255.0,220400.0,500
1,8,RHC,266.0,241000.0,1000
1,16,RHC,250.0,422000.0,0
1,16,RHC,249.0,276200.0,10
1,16,RHC,230.0,281300.0,50
1,16,RHC,271.0,238200.0,100
1,16,RHC,262.0,283500.0,500
1,16,RHC,244.0,252500.0,1000
1,32,RHC,240.0,449000.0,0
1,32,RHC,277.0,597300.0,10
1,32,RHC,238.0,537100.0,50
1,32,RHC,262.0,483300.0,100
1,32,RHC,248.0,213600.0,500
1,32,RHC,278.0,220700.0,1000
1,64,RHC,248.0,520900.0,0
1,64,RHC,274.0,757500.0,10
1,64,RHC,262.0,419300.0,50
1,64,RHC,288.0,456100.0,100
1,64,RHC,262.0,179700.0,500
1,64,RHC,271.0,158200.0,1000
1,128,RHC,276.0,273700.0,0
1,128,RHC,273.0,421000.0,10
1,128,RHC,271.0,392600.0,50
1,128,RHC,300.0,355700.0,100
1,128,RHC,257.0,483900.0,500
1,128,RHC,275.0,331900.0,1000
1,256,RHC,302.0,680700.0,0
1,256,RHC,276.0,895300.0,10
1,256,RHC,300.0,508100.0,50
1,256,RHC,317.0,542700.0,100
1,256,RHC,320.0,514200.0,500
1,256,RHC,311.0,530100.0,1000
1,512,RHC,321.0,1004900.0,0
1,512,RHC,279.0,1801200.0,10
1,512,RHC,289.0,1050000.0,50
1,512,RHC,342.0,1110100.0,100
1,512,RHC,335.0,1045500.0,500
1,512,RHC,323.0,1101200.0,1000
1,1024,RHC,368.0,3271900.0,0
1,1024,RHC,276.0,3947000.0,10
1,1024,RHC,345.0,805400.0,50
1,1024,RHC,321.0,826300.0,100
1,1024,RHC,365.0,920300.0,500
1,1024,RHC,376.0,784400.0,1000
1,2048,RHC,371.0,1530800.0,0
1,2048,RHC,294.0,3808400.0,10
1,2048,RHC,356.0,1825200.0,50
1,2048,RHC,370.0,1556800.0,100
1,2048,RHC,401.0,1525200.0,500
1,2048,RHC,399.0,2217400.0,1000
1,4096,RHC,403.0,3454800.0,0
1,4096,RHC,286.0,8494500.0,10
1,4096,RHC,349.0,3106500.0,50
1,4096,RHC,380.0,3030600.0,100
1,4096,RHC,413.0,8600500.0,500
1,4096,RHC,419.0,9839700.0,1000
