Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,1,SA,251.2,141780.0,0.1,0.9
5,1,SA,251.0,9760.0,0.1,0.99
5,1,SA,250.8,9960.0,0.1,0.999
5,1,SA,245.6,10860.0,0.1,0.9999
5,1,SA,251.0,9800.0,1.0,0.9
5,1,SA,254.2,9860.0,1.0,0.99
5,1,SA,243.6,10100.0,1.0,0.999
5,1,SA,247.2,10020.0,1.0,0.9999
5,1,SA,247.4,10700.0,10.0,0.9
5,1,SA,247.8,12000.0,10.0,0.99
5,1,SA,255.4,9540.0,10.0,0.999
5,1,SA,253.0,10060.0,10.0,0.9999
5,1,SA,241.0,9660.0,100.0,0.9
5,1,SA,238.6,9720.0,100.0,0.99
5,1,SA,248.6,9800.0,100.0,0.999
5,1,SA,256.6,9620.0,100.0,0.9999
5,1,SA,243.6,9580.0,1000.0,0.9
5,1,SA,245.2,9600.0,1000.0,0.99
5,1,SA,249.4,9740.0,1000.0,0.999
5,1,SA,256.2,9700.0,1000.0,0.9999
5,1,SA,238.0,10000.0,10000.0,0.9
5,1,SA,248.8,9540.0,10000.0,0.99
5,1,SA,249.4,9620.0,10000.0,0.999
5,1,SA,259.6,9720.0,10000.0,0.9999
5,2,SA,257.2,11220.0,0.1,0.9
5,2,SA,246.2,11440.0,0.1,0.99
5,2,SA,253.2,11000.0,0.1,0.999
5,2,SA,245.6,15860.0,0.1,0.9999
5,2,SA,242.8,11300.0,1.0,0.9
5,2,SA,250.8,11280.0,1.0,0.99
5,2,SA,250.6,11260.0,1.0,0.999
5,2,SA,260.2,10980.0,1.0,0.9999
5,2,SA,255.2,10840.0,10.0,0.9
5,2,SA,242.6,11260.0,10.0,0.99
5,2,SA,252.2,11380.0,10.0,0.999
5,2,SA,245.6,11100.0,10.0,0.9999
5,2,SA,250.2,11220.0,100.0,0.9
5,2,SA,251.8,12320.0,100.0,0.99
5,2,SA,244.6,11140.0,100.0,0.999
5,2,SA,255.4,14440.0,100.0,0.9999
5,2,SA,245.6,16400.0,1000.0,0.9
5,2,SA,251.4,10760.0,1000.0,0.99
5,2,SA,250.8,10760.0,1000.0,0.999
5,2,SA,253.0,10480.0,1000.0,0.9999
5,2,SA,250.6,10600.0,10000.0,0.9
5,2,SA,248.6,10600.0,10000.0,0.99
5,2,SA,246.6,10780.0,10000.0,0.999
5,2,SA,241.2,10880.0,10000.0,0.9999
5,4,SA,250.8,12760.0,0.1,0.9
5,4,SA,250.8,12660.0,0.1,0.99
5,4,SA,250.4,12980.0,0.1,0.999
5,4,SA,252.4,13580.0,0.1,0.9999
5,4,SA,249.0,13940.0,1.0,0.9
5,4,SA,247.2,13320.0,1.0,0.99
5,4,SA,252.0,13520.0,1.0,0.999
5,4,SA,243.6,13160.0,1.0,0.9999
5,4,SA,254.0,12860.0,10.0,0.9
5,4,SA,249.0,13080.0,10.0,0.99
5,4,SA,257.0,12720.0,10.0,0.999
5,4,SA,254.2,14460.0,10.0,0.9999
5,4,SA,246.0,14660.0,100.0,0.9
5,4,SA,248.2,14840.0,100.0,0.99
5,4,SA,250.4,14540.0,100.0,0.999
5,4,SA,243.6,14600.0,100.0,0.9999
5,4,SA,247.0,14540.0,1000.0,0.9
5,4,SA,256.8,14980.0,1000.0,0.99
5,4,SA,248.0,15100.0,1000.0,0.999
5,4,SA,238.4,14520.0,1000.0,0.9999
5,4,SA,252.0,14580.0,10000.0,0.9
5,4,SA,235.0,14780.0,10000.0,0.99
5,4,SA,250.2,14380.0,10000.0,0.999
5,4,SA,246.2,14660.0,10000.0,0.9999
5,8,SA,248.4,18400.0,0.1,0.9
5,8,SA,245.4,27700.0,0.1,0.99
5,8,SA,253.0,18660.0,0.1,0.999
5,8,SA,261.0,18500.0,0.1,0.9999
5,8,SA,258.6,20020.0,1.0,0.9
5,8,SA,245.2,18600.0,1.0,0.99
5,8,SA,253.8,18840.0,1.0,0.999
5,8,SA,249.8,19320.0,1.0,0.9999
5,8,SA,246.8,18380.0,10.0,0.9
5,8,SA,254.8,19540.0,10.0,0.99
5,8,SA,245.4,18580.0,10.0,0.999
5,8,SA,246.6,18580.0,10.0,0.9999
5,8,SA,245.0,19300.0,100.0,0.9
5,8,SA,253.4,21320.0,100.0,0.99
5,8,SA,249.2,16140.0,100.0,0.999
5,8,SA,245.8,16740.0,100.0,0.9999
5,8,SA,242.4,16420.0,1000.0,0.9
5,8,SA,243.8,15680.0,1000.0,0.99
5,8,SA,239.0,16820.0,1000.0,0.999
5,8,SA,259.0,17880.0,1000.0,0.9999
5,8,SA,250.2,17060.0,10000.0,0.9
5,8,SA,253.2,16500.0,10000.0,0.99
5,8,SA,252.4,16560.0,10000.0,0.999
5,8,SA,247.2,16700.0,10000.0,0.9999
5,16,SA,255.2,25120.0,0.1,0.9
5,16,SA,249.8,24220.0,0.1,0.99
5,16,SA,257.4,33540.0,0.1,0.999
5,16,SA,262.2,25600.0,0.1,0.9999
5,16,SA,246.8,24300.0,1.0,0.9
5,16,SA,259.8,24160.0,1.0,0.99
5,16,SA,252.2,23900.0,1.0,0.999
5,16,SA,257.6,24000.0,1.0,0.9999
5,16,SA,245.4,23980.0,10.0,0.9
5,16,SA,251.8,24420.0,10.0,0.99
5,16,SA,249.8,23680.0,10.0,0.999
5,16,SA,257.6,23600.0,10.0,0.9999
5,16,SA,262.6,23500.0,100.0,0.9
5,16,SA,252.2,51940.0,100.0,0.99
5,16,SA,248.6,25920.0,100.0,0.999
5,16,SA,255.2,26800.0,100.0,0.9999
5,16,SA,253.0,26420.0,1000.0,0.9
5,16,SA,251.4,26480.0,1000.0,0.99
5,16,SA,246.0,25820.0,1000.0,0.999
5,16,SA,245.0,25000.0,1000.0,0.9999
5,16,SA,255.0,27320.0,10000.0,0.9
5,16,SA,254.4,27160.0,10000.0,0.99
5,16,SA,253.6,28020.0,10000.0,0.999
5,16,SA,248.8,29860.0,10000.0,0.9999
5,32,SA,260.6,43940.0,0.1,0.9
5,32,SA,259.2,42820.0,0.1,0.99
5,32,SA,263.8,41100.0,0.1,0.999
5,32,SA,263.0,45980.0,0.1,0.9999
5,32,SA,262.6,42240.0,1.0,0.9
5,32,SA,249.0,40480.0,1.0,0.99
5,32,SA,262.2,48500.0,1.0,0.999
5,32,SA,257.0,38360.0,1.0,0.9999
5,32,SA,260.0,38400.0,10.0,0.9
5,32,SA,251.6,39060.0,10.0,0.99
5,32,SA,257.0,41460.0,10.0,0.999
5,32,SA,248.8,38000.0,10.0,0.9999
5,32,SA,247.2,38000.0,100.0,0.9
5,32,SA,240.6,37680.0,100.0,0.99
5,32,SA,249.0,37860.0,100.0,0.999
5,32,SA,247.0,39020.0,100.0,0.9999
5,32,SA,249.8,37680.0,1000.0,0.9
5,32,SA,249.0,38020.0,1000.0,0.99
5,32,SA,247.6,38720.0,1000.0,0.999
5,32,SA,243.8,39000.0,1000.0,0.9999
5,32,SA,250.6,38100.0,10000.0,0.9
5,32,SA,247.8,36960.0,10000.0,0.99
5,32,SA,245.8,38220.0,10000.0,0.999
5,32,SA,247.0,48380.0,10000.0,0.9999
5,64,SA,276.8,65580.0,0.1,0.9
5,64,SA,269.4,65320.0,0.1,0.99
5,64,SA,263.2,68760.0,0.1,0.999
5,64,SA,263.8,63300.0,0.1,0.9999
5,64,SA,264.0,64880.0,1.0,0.9
5,64,SA,270.4,64780.0,1.0,0.99
5,64,SA,258.6,63520.0,1.0,0.999
5,64,SA,262.2,69060.0,1.0,0.9999
5,64,SA,269.4,66040.0,10.0,0.9
5,64,SA,254.4,65020.0,10.0,0.99
5,64,SA,257.6,65080.0,10.0,0.999
5,64,SA,250.2,67540.0,10.0,0.9999
5,64,SA,264.8,65120.0,100.0,0.9
5,64,SA,245.4,70080.0,100.0,0.99
5,64,SA,250.8,63940.0,100.0,0.999
5,64,SA,245.2,65580.0,100.0,0.9999
5,64,SA,256.0,65320.0,1000.0,0.9
5,64,SA,242.8,64180.0,1000.0,0.99
5,64,SA,255.0,69940.0,1000.0,0.999
5,64,SA,248.0,64180.0,1000.0,0.9999
5,64,SA,245.0,65020.0,10000.0,0.9
5,64,SA,254.8,88980.0,10000.0,0.99
5,64,SA,252.6,64400.0,10000.0,0.999
5,64,SA,254.6,69520.0,10000.0,0.9999
5,128,SA,283.2,121920.0,0.1,0.9
5,128,SA,274.0,133200.0,0.1,0.99
5,128,SA,283.6,125480.0,0.1,0.999
5,128,SA,280.0,120180.0,0.1,0.9999
5,128,SA,272.6,215700.0,1.0,0.9
5,128,SA,271.6,344900.0,1.0,0.99
5,128,SA,271.0,199720.0,1.0,0.999
5,128,SA,270.8,183540.0,1.0,0.9999
5,128,SA,277.6,195440.0,10.0,0.9
5,128,SA,266.0,200660.0,10.0,0.99
5,128,SA,257.6,217580.0,10.0,0.999
5,128,SA,249.8,221820.0,10.0,0.9999
5,128,SA,280.6,203380.0,100.0,0.9
5,128,SA,247.2,189260.0,100.0,0.99
5,128,SA,247.8,200940.0,100.0,0.999
5,128,SA,245.4,189020.0,100.0,0.9999
5,128,SA,273.8,125480.0,1000.0,0.9
5,128,SA,247.6,124760.0,1000.0,0.99
5,128,SA,252.2,127400.0,1000.0,0.999
5,128,SA,249.2,123500.0,1000.0,0.9999
5,128,SA,264.6,133000.0,10000.0,0.9
5,128,SA,254.0,124740.0,10000.0,0.99
5,128,SA,256.0,124220.0,10000.0,0.999
5,128,SA,246.6,134480.0,10000.0,0.9999
5,256,SA,300.8,236000.0,0.1,0.9
5,256,SA,299.8,236860.0,0.1,0.99
5,256,SA,304.2,244080.0,0.1,0.999
5,256,SA,305.8,226900.0,0.1,0.9999
5,256,SA,302.8,239500.0,1.0,0.9
5,256,SA,294.4,231320.0,1.0,0.99
5,256,SA,294.2,245660.0,1.0,0.999
5,256,SA,294.8,233600.0,1.0,0.9999
5,256,SA,290.8,244260.0,10.0,0.9
5,256,SA,276.4,271820.0,10.0,0.99
5,256,SA,259.4,276040.0,10.0,0.999
5,256,SA,253.2,268120.0,10.0,0.9999
5,256,SA,306.4,240220.0,100.0,0.9
5,256,SA,259.6,239460.0,100.0,0.99
5,256,SA,250.4,255620.0,100.0,0.999
5,256,SA,257.4,242420.0,100.0,0.9999
5,256,SA,283.8,234840.0,1000.0,0.9
