Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,1,GA,4903.8,1.646016E8,2000,0.95,0.1
5,2,GA,4899.4,2.047055E8,2000,0.95,0.1
5,4,GA,4888.2,3.1605932E8,2000,0.95,0.1
5,8,GA,4876.0,5.6822344E8,2000,0.95,0.1
5,16,GA,4873.0,1.08372396E9,2000,0.95,0.1
5,32,GA,4868.0,2.0952578E9,2000,0.95,0.1
5,64,GA,4869.4,4.18688872E9,2000,0.95,0.1
5,128,GA,4868.6,8.341293E9,2000,0.95,0.1
5,256,GA,4866.6,1.671469142E10,2000,0.95,0.1
5,512,GA,4863.8,3.352228992E10,2000,0.95,0.1
5,1024,GA,4862.0,6.725318714E10,2000,0.95,0.1
5,2048,GA,4849.6,1.321567542E11,2000,0.95,0.1
