Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,1,GA,4906.8,4.50E+07,500,0.75,0.1
5,1,GA,4905,4.08E+07,500,0.75,0.2
5,1,GA,4906.8,4.33E+07,500,0.95,0.1
5,1,GA,4906.2,5.10E+07,500,0.95,0.2
5,1,GA,4905.6,7.92E+07,1000,0.75,0.1
5,1,GA,4907.2,7.20E+07,1000,0.75,0.2
5,1,GA,4905.4,7.65E+07,1000,0.95,0.1
5,1,GA,4908.4,7.76E+07,1000,0.95,0.2
5,1,GA,4906.6,1.23E+08,2000,0.75,0.1
5,1,GA,4908.8,1.23E+08,2000,0.75,0.2
5,1,GA,4909.2,1.39E+08,2000,0.95,0.1
5,1,GA,4908.8,1.36E+08,2000,0.95,0.2
5,2,GA,4905.2,4.62E+07,500,0.75,0.1
5,2,GA,4905.6,4.71E+07,500,0.75,0.2
5,2,GA,4904.8,5.60E+07,500,0.95,0.1
5,2,GA,4905.8,5.20E+07,500,0.95,0.2
5,2,GA,4907,8.95E+07,1000,0.75,0.1
5,2,GA,4907.6,9.48E+07,1000,0.75,0.2
5,2,GA,4907.2,1.05E+08,1000,0.95,0.1
5,2,GA,4908.2,1.06E+08,1000,0.95,0.2
5,2,GA,4906.6,1.82E+08,2000,0.75,0.1
5,2,GA,4907,1.83E+08,2000,0.75,0.2
5,2,GA,4909.4,2.04E+08,2000,0.95,0.1
5,2,GA,4906.8,2.03E+08,2000,0.95,0.2
5,4,GA,4905.8,7.17E+07,500,0.75,0.1
5,4,GA,4906.4,7.34E+07,500,0.75,0.2
5,4,GA,4904.8,8.89E+07,500,0.95,0.1
5,4,GA,4904.2,8.46E+07,500,0.95,0.2
5,4,GA,4906,1.43E+08,1000,0.75,0.1
5,4,GA,4907,1.46E+08,1000,0.75,0.2
5,4,GA,4906.8,1.70E+08,1000,0.95,0.1
5,4,GA,4907,1.69E+08,1000,0.95,0.2
5,4,GA,4909,2.90E+08,2000,0.75,0.1
5,4,GA,4909.2,2.93E+08,2000,0.75,0.2
5,4,GA,4907.8,3.40E+08,2000,0.95,0.1
5,4,GA,4908,3.40E+08,2000,0.95,0.2
5,8,GA,4906,1.28E+08,500,0.75,0.1
5,8,GA,4904.6,1.29E+08,500,0.75,0.2
5,8,GA,4906.4,1.53E+08,500,0.95,0.1
5,8,GA,4905.2,1.54E+08,500,0.95,0.2
5,8,GA,4906.4,2.54E+08,1000,0.75,0.1
5,8,GA,4907.6,2.60E+08,1000,0.75,0.2
5,8,GA,4907,3.05E+08,1000,0.95,0.1
5,8,GA,4906.8,3.06E+08,1000,0.95,0.2
5,8,GA,4907.6,5.11E+08,2000,0.75,0.1
5,8,GA,4907.6,5.20E+08,2000,0.75,0.2
5,8,GA,4907,6.11E+08,2000,0.95,0.1
5,8,GA,4906.8,6.14E+08,2000,0.95,0.2
5,16,GA,4904,2.38E+08,500,0.75,0.1
5,16,GA,4904.8,2.43E+08,500,0.75,0.2
5,16,GA,4905.2,2.90E+08,500,0.95,0.1
5,16,GA,4904.2,2.90E+08,500,0.95,0.2
5,16,GA,4907.4,4.76E+08,1000,0.75,0.1
5,16,GA,4907.2,4.90E+08,1000,0.75,0.2
5,16,GA,4906.2,5.78E+08,1000,0.95,0.1
5,16,GA,4907.2,5.80E+08,1000,0.95,0.2
5,16,GA,4907.2,9.53E+08,2000,0.75,0.1
5,16,GA,4907.4,9.75E+08,2000,0.75,0.2
5,16,GA,4907.2,1.16E+09,2000,0.95,0.1
5,16,GA,4908,1.17E+09,2000,0.95,0.2
5,32,GA,4904,4.56E+08,500,0.75,0.1
5,32,GA,4904,4.71E+08,500,0.75,0.2
5,32,GA,4905.4,5.61E+08,500,0.95,0.1
5,32,GA,4905.4,5.63E+08,500,0.95,0.2
5,32,GA,4907,9.17E+08,1000,0.75,0.1
5,32,GA,4906,9.38E+08,1000,0.75,0.2
5,32,GA,4907.2,1.13E+09,1000,0.95,0.1
5,32,GA,4907.4,1.13E+09,1000,0.95,0.2
5,32,GA,4908.2,1.84E+09,2000,0.75,0.1
5,32,GA,4907.6,1.88E+09,2000,0.75,0.2
5,32,GA,4908.2,2.26E+09,2000,0.95,0.1
5,32,GA,4908,2.26E+09,2000,0.95,0.2
5,64,GA,4905.2,9.00E+08,500,0.75,0.1
5,64,GA,4904.4,9.21E+08,500,0.75,0.2
5,64,GA,4907.4,1.11E+09,500,0.95,0.1
5,64,GA,4905.4,1.11E+09,500,0.95,0.2
5,64,GA,4907,1.80E+09,1000,0.75,0.1
