Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Restart Threshold
5,1,RHC,4883.2,5412340.0,0
5,1,RHC,4878.8,698420.0,10
5,1,RHC,4890.6,655380.0,50
5,1,RHC,4883.8,676880.0,100
5,1,RHC,4880.4,705020.0,500
5,1,RHC,4878.8,129100.0,1000
5,2,RHC,4877.8,185620.0,0
5,2,RHC,4885.2,180180.0,10
5,2,RHC,4881.2,167260.0,50
5,2,RHC,4890.2,174700.0,100
5,2,RHC,4884.2,177360.0,500
5,2,RHC,4885.6,167780.0,1000
5,4,RHC,4888.4,264800.0,0
5,4,RHC,4889.0,228060.0,10
5,4,RHC,4887.6,220280.0,50
5,4,RHC,4889.2,192680.0,100
5,4,RHC,4879.6,200280.0,500
5,4,RHC,4886.4,197340.0,1000
5,8,RHC,4894.6,339300.0,0
5,8,RHC,4889.0,343800.0,10
5,8,RHC,4891.2,346400.0,50
5,8,RHC,4892.2,350280.0,100
5,8,RHC,4888.6,420040.0,500
5,8,RHC,4892.6,333880.0,1000
5,16,RHC,4898.8,823940.0,0
5,16,RHC,4897.8,630980.0,10
5,16,RHC,4894.0,573740.0,50
5,16,RHC,4903.2,553940.0,100
5,16,RHC,4895.6,548180.0,500
5,16,RHC,4890.6,549560.0,1000
5,32,RHC,4904.6,1065160.0,0
5,32,RHC,4904.2,1065380.0,10
5,32,RHC,4902.8,1217160.0,50
5,32,RHC,4903.6,1055820.0,100
5,32,RHC,4905.8,1146580.0,500
5,32,RHC,4905.2,1091840.0,1000
5,64,RHC,4911.0,2274220.0,0
5,64,RHC,4909.6,2283140.0,10
5,64,RHC,4913.2,2387400.0,50
5,64,RHC,4915.8,2940900.0,100
5,64,RHC,4909.2,3326720.0,500
5,64,RHC,4912.4,2080200.0,1000
5,128,RHC,4924.0,4392720.0,0
5,128,RHC,4913.4,4739240.0,10
5,128,RHC,4923.8,4526840.0,50
5,128,RHC,4923.8,4641280.0,100
5,128,RHC,4921.4,6719600.0,500
5,128,RHC,4923.8,6853480.0,1000
5,256,RHC,4930.4,9617200.0,0
5,256,RHC,4920.2,9464240.0,10
5,256,RHC,4931.8,9490700.0,50
5,256,RHC,4931.6,9296000.0,100
5,256,RHC,4932.6,9991040.0,500
5,256,RHC,4930.6,1.217898E7,1000
5,512,RHC,4937.8,1.91799E7,0
5,512,RHC,4918.8,1.656198E7,10
5,512,RHC,4933.4,1.924366E7,50
5,512,RHC,4938.8,1.822924E7,100
5,512,RHC,4938.2,1.66272E7,500
5,512,RHC,4937.0,1.678176E7,1000
5,1024,RHC,4942.2,3.29463E7,0
5,1024,RHC,4923.4,3.462002E7,10
5,1024,RHC,4935.2,3.283448E7,50
5,1024,RHC,4939.4,3.32308E7,100
5,1024,RHC,4943.2,3.26127E7,500
5,1024,RHC,4942.4,3.253186E7,1000
5,2048,RHC,4946.0,6.428142E7,0
5,2048,RHC,4925.0,6.731046E7,10
5,2048,RHC,4937.2,6.572784E7,50
5,2048,RHC,4942.6,6.581374E7,100
5,2048,RHC,4944.0,6.592608E7,500
5,2048,RHC,4945.4,6.525946E7,1000
5,4096,RHC,4948.8,1.298336E8,0
5,4096,RHC,4924.4,1.332819E8,10
5,4096,RHC,4938.8,1.3075816E8,50
5,4096,RHC,4942.0,1.295231E8,100
5,4096,RHC,4946.8,1.2907002E8,500
5,4096,RHC,4946.6,1.2999934E8,1000
