Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,1,SA,4887.4,178180.0,0.1,0.9
5,1,SA,4880.0,64060.0,0.1,0.99
5,1,SA,4889.0,77240.0,0.1,0.999
5,1,SA,4891.2,75340.0,0.1,0.9999
5,1,SA,4881.8,65640.0,0.1,0.99999
5,1,SA,4889.2,72960.0,1.0,0.9
5,1,SA,4884.0,67700.0,1.0,0.99
5,1,SA,4888.4,65260.0,1.0,0.999
5,1,SA,4885.2,71840.0,1.0,0.9999
5,1,SA,4877.8,65660.0,1.0,0.99999
5,1,SA,4876.0,67140.0,10.0,0.9
5,1,SA,4892.0,73700.0,10.0,0.99
5,1,SA,4876.0,74820.0,10.0,0.999
5,1,SA,4885.2,66500.0,10.0,0.9999
5,1,SA,4882.6,79180.0,10.0,0.99999
5,1,SA,4885.8,63140.0,100.0,0.9
5,1,SA,4885.4,99280.0,100.0,0.99
5,1,SA,4883.4,71100.0,100.0,0.999
5,1,SA,4879.2,70340.0,100.0,0.9999
5,1,SA,4889.2,105220.0,100.0,0.99999
5,1,SA,4885.2,63720.0,1000.0,0.9
5,1,SA,4881.2,64780.0,1000.0,0.99
5,1,SA,4883.0,95580.0,1000.0,0.999
5,1,SA,4881.6,68400.0,1000.0,0.9999
5,1,SA,4882.6,66140.0,1000.0,0.99999
5,1,SA,4888.2,69380.0,10000.0,0.9
5,1,SA,4888.2,85680.0,10000.0,0.99
5,1,SA,4881.4,81220.0,10000.0,0.999
5,1,SA,4884.8,86880.0,10000.0,0.9999
5,1,SA,4888.6,89800.0,10000.0,0.99999
5,1,SA,4879.0,92920.0,100000.0,0.9
5,1,SA,4881.8,83120.0,100000.0,0.99
5,1,SA,4880.8,92960.0,100000.0,0.999
5,1,SA,4878.6,127040.0,100000.0,0.9999
5,1,SA,4882.0,84880.0,100000.0,0.99999
5,2,SA,4883.0,123740.0,0.1,0.9
5,2,SA,4891.6,124160.0,0.1,0.99
5,2,SA,4883.6,133480.0,0.1,0.999
5,2,SA,4886.4,141500.0,0.1,0.9999
5,2,SA,4888.8,154020.0,0.1,0.99999
5,2,SA,4876.4,128060.0,1.0,0.9
5,2,SA,4888.0,127700.0,1.0,0.99
5,2,SA,4883.4,133620.0,1.0,0.999
5,2,SA,4884.6,158520.0,1.0,0.9999
5,2,SA,4879.2,135500.0,1.0,0.99999
5,2,SA,4875.6,120620.0,10.0,0.9
5,2,SA,4882.8,125400.0,10.0,0.99
5,2,SA,4881.0,152600.0,10.0,0.999
5,2,SA,4888.0,146540.0,10.0,0.9999
5,2,SA,4885.4,122960.0,10.0,0.99999
5,2,SA,4882.8,135140.0,100.0,0.9
5,2,SA,4886.8,136480.0,100.0,0.99
5,2,SA,4883.4,123800.0,100.0,0.999
5,2,SA,4883.6,125040.0,100.0,0.9999
5,2,SA,4883.0,118020.0,100.0,0.99999
5,2,SA,4885.2,121180.0,1000.0,0.9
5,2,SA,4883.2,114020.0,1000.0,0.99
5,2,SA,4880.8,99620.0,1000.0,0.999
5,2,SA,4884.8,102760.0,1000.0,0.9999
5,2,SA,4875.0,106520.0,1000.0,0.99999
5,2,SA,4886.8,135940.0,10000.0,0.9
5,2,SA,4889.0,113900.0,10000.0,0.99
5,2,SA,4880.0,100500.0,10000.0,0.999
5,2,SA,4882.0,297480.0,10000.0,0.9999
5,2,SA,4880.0,103440.0,10000.0,0.99999
5,2,SA,4885.6,93920.0,100000.0,0.9
5,2,SA,4889.4,93760.0,100000.0,0.99
5,2,SA,4878.8,101460.0,100000.0,0.999
5,2,SA,4885.2,96460.0,100000.0,0.9999
5,2,SA,4881.4,102460.0,100000.0,0.99999
5,4,SA,4888.4,180240.0,0.1,0.9
5,4,SA,4885.8,169040.0,0.1,0.99
5,4,SA,4885.2,158920.0,0.1,0.999
5,4,SA,4887.2,164500.0,0.1,0.9999
5,4,SA,4881.0,158780.0,0.1,0.99999
5,4,SA,4885.0,167900.0,1.0,0.9
5,4,SA,4894.8,155160.0,1.0,0.99
5,4,SA,4886.0,182220.0,1.0,0.999
5,4,SA,4882.0,164020.0,1.0,0.9999
5,4,SA,4888.8,171240.0,1.0,0.99999
5,4,SA,4889.4,171180.0,10.0,0.9
5,4,SA,4885.4,152020.0,10.0,0.99
5,4,SA,4879.4,173860.0,10.0,0.999
5,4,SA,4884.8,169380.0,10.0,0.9999
5,4,SA,4882.4,166120.0,10.0,0.99999
5,4,SA,4886.2,159000.0,100.0,0.9
5,4,SA,4884.4,156160.0,100.0,0.99
5,4,SA,4883.8,162080.0,100.0,0.999
5,4,SA,4881.0,175020.0,100.0,0.9999
5,4,SA,4884.6,176120.0,100.0,0.99999
5,4,SA,4882.8,202580.0,1000.0,0.9
5,4,SA,4887.4,154960.0,1000.0,0.99
5,4,SA,4885.8,157820.0,1000.0,0.999
5,4,SA,4878.6,185580.0,1000.0,0.9999
5,4,SA,4882.6,153100.0,1000.0,0.99999
5,4,SA,4881.4,213880.0,10000.0,0.9
5,4,SA,4889.2,164800.0,10000.0,0.99
5,4,SA,4885.2,162400.0,10000.0,0.999
5,4,SA,4885.2,164580.0,10000.0,0.9999
5,4,SA,4886.2,164280.0,10000.0,0.99999
5,4,SA,4880.4,153040.0,100000.0,0.9
5,4,SA,4880.4,167800.0,100000.0,0.99
5,4,SA,4880.2,156560.0,100000.0,0.999
5,4,SA,4887.2,176480.0,100000.0,0.9999
5,4,SA,4883.0,160920.0,100000.0,0.99999
5,8,SA,4885.2,320900.0,0.1,0.9
5,8,SA,4891.8,342900.0,0.1,0.99
5,8,SA,4890.2,297380.0,0.1,0.999
5,8,SA,4888.4,306200.0,0.1,0.9999
5,8,SA,4886.8,283820.0,0.1,0.99999
5,8,SA,4890.8,287740.0,1.0,0.9
