Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Samples,Keep Pct
5,1,MIMIC,180.4,4.306534E7,2000,0.1
5,2,MIMIC,180.8,3.57115E7,2000,0.1
5,4,MIMIC,181.6,5.965828E7,2000,0.1
5,8,MIMIC,185.6,1.0908878E8,2000,0.1
5,16,MIMIC,186.2,1.876563E8,2000,0.1
5,32,MIMIC,185.8,3.307245E8,2000,0.1
5,64,MIMIC,186.6,6.0328238E8,2000,0.1
5,128,MIMIC,186.4,1.15060408E9,2000,0.1
5,256,MIMIC,185.0,2.27215008E9,2000,0.1
5,512,MIMIC,184.2,4.51611228E9,2000,0.1
5,1024,MIMIC,185.0,8.70528344E9,2000,0.1
5,2048,MIMIC,186.2,1.780010882E10,2000,0.1
