Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Restart Threshold
5,1,RHC,0.2215606600035182,839720.0,100
5,2,RHC,0.19812450900637174,23000.0,100
5,4,RHC,0.22120554620520988,30400.0,100
5,8,RHC,0.24488915761869748,41660.0,100
5,16,RHC,0.27319229658871297,53460.0,100
5,32,RHC,0.2651388089561103,192540.0,100
5,64,RHC,0.30376843132755194,102480.0,100
5,128,RHC,0.31215976785866406,123080.0,100
5,256,RHC,0.33351944138032935,503080.0,100
5,512,RHC,0.33265698233495766,356080.0,100
5,1024,RHC,0.3370197092351104,319400.0,100
5,2048,RHC,0.3370197092351104,568680.0,100
5,4096,RHC,0.3370197092351104,962480.0,100
5,8192,RHC,0.3370197092351104,1616220.0,100
5,16384,RHC,0.3370197092351104,2817680.0,100
