Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,1,GA,0.11786968844180697,1.251892E7,3000,0.95,0.2
5,2,GA,0.1334203359638684,2.002766E7,3000,0.95,0.2
5,4,GA,0.1616679537488423,2.23447E7,3000,0.95,0.2
5,8,GA,0.1939398946491,4.33818E7,3000,0.95,0.2
5,16,GA,0.22241977151555642,7.673974E7,3000,0.95,0.2
5,32,GA,0.22060273912273534,1.4432116E8,3000,0.95,0.2
5,64,GA,0.21525106093867236,2.6071676E8,3000,0.95,0.2
5,128,GA,0.21985789710807196,5.3045716E8,3000,0.95,0.2
5,256,GA,0.2199893317298395,1.13606082E9,3000,0.95,0.2
5,512,GA,0.22007984871165237,2.0162636E9,3000,0.95,0.2
5,1024,GA,0.21927784002490558,4.07017556E9,3000,0.95,0.2
5,2048,GA,0.2204916741148922,7.99677152E9,3000,0.95,0.2
5,4096,GA,0.22178768030043453,1.636680122E10,3000,0.95,0.2
